Login: belamiqu, Nivel: None
Login: jsalaber, Nivel: 4.29
Login: blozano-, Nivel: 2.15
Login: ibaines, Nivel: 6.4
Login: dangonz3, Nivel: 2.15
Login: lagonzal, Nivel: 5.78
Login: incalero, Nivel: 4.61
Login: iportill, Nivel: 5.19
Login: nkrasimi, Nivel: 3.73
Login: ithernan, Nivel: 3.8
Login: alvicina, Nivel: 6.23
Login: ybazhyna, Nivel: 1.77
Login: ltropina, Nivel: 2.7199999999999998
Login: iblanco-, Nivel: 4.27
Login: jotorral, Nivel: None
Login: dpinedo-, Nivel: 4.06
Login: aamaya-g, Nivel: 1.3900000000000001
Login: sperez-p, Nivel: 5.74
Login: alberrod, Nivel: 4.65
Login: jsala-ba, Nivel: None
Login: ngordobi, Nivel: 2.6
Login: lortega, Nivel: None
Login: usebasti, Nivel: 3.18
Login: iaviles, Nivel: 1.0
Login: svarela, Nivel: None
Login: edegarci, Nivel: 1.05
Login: sultan, Nivel: None
Login: madiez-p, Nivel: 1.25
Login: vzayas-s, Nivel: 5.71
Login: ilastra-, Nivel: None
Login: mortez-g, Nivel: 1.05
Login: ghoyuelo, Nivel: 5.13
Login: aarranz-, Nivel: 3.82
Login: ypacileo, Nivel: 0.0
Login: albuchi, Nivel: None
Login: edallend, Nivel: 0.0
Login: dcarro-m, Nivel: 2.17
Login: danielro, Nivel: 2.15
Login: cvarela-, Nivel: 3.2
Login: jcordon-, Nivel: None
Login: jleon-la, Nivel: 3.2
Login: imontero, Nivel: 11.74
Login: steamo, Nivel: None
Login: caquinta, Nivel: 8.02
Login: iboiraza, Nivel: 1.74
Login: msoria-j, Nivel: 6.0
Login: isolano-, Nivel: 1.05
Login: ietlapa-, Nivel: 1.44
Login: davmoren, Nivel: 1.0
Login: ibosque-, Nivel: 3.17
Login: dilopez-, Nivel: 8.2
Login: aurgonza, Nivel: 2.06
Login: xmatute-, Nivel: 11.06
Login: amarzana, Nivel: 7.98
Login: irolaizo, Nivel: 2.13
Login: iarbaiza, Nivel: 4.62
Login: mrekalde, Nivel: 2.4
Login: xbasabe-, Nivel: 5.1
Login: xamayuel, Nivel: 5.7
Login: jllarena, Nivel: 3.77
Login: jchamorr, Nivel: 4.6
Login: afidalgo, Nivel: 6.24
Login: alantada, Nivel: 2.71
Login: emedina-, Nivel: 3.25
Login: uurbizu-, Nivel: 4.83
Login: kabasolo, Nivel: 3.2
Login: migferna, Nivel: 6.39
Login: enibarza, Nivel: 0.0
Login: adlopez-, Nivel: 3.2
Login: eviscont, Nivel: 3.96
Login: anwu-yan, Nivel: 2.44
Login: nimai, Nivel: 6.49
Login: eescubi, Nivel: 1.44
Login: otboumeh, Nivel: 2.18
Login: kida, Nivel: None
Login: aolabarr, Nivel: 2.84
Login: mzuloaga, Nivel: 3.27
Login: jemedina, Nivel: None
Login: auskola-, Nivel: 4.41
Login: lasagna, Nivel: None
Login: micabrer, Nivel: 2.58
Login: esteizag, Nivel: 2.19
Login: dgerwig-, Nivel: 12.01
Login: ruramire, Nivel: 4.6
Login: ikgonzal, Nivel: 12.46
Login: ngasco, Nivel: 11.1
Login: iubieta-, Nivel: 3.04
Login: mikgarci, Nivel: 8.33
Login: iziat-hi, Nivel: 1.06
Login: aolaso-r, Nivel: None
Login: ide-la-i, Nivel: 2.1
Login: jzubizar, Nivel: 10.81
Login: mirespin, Nivel: 2.59
Login: edejimen, Nivel: 4.49
Login: susamani, Nivel: None
Login: adel-cor, Nivel: 10.81
Login: andeviei, Nivel: 3.95
Login: marmarku, Nivel: 1.72
Login: mikemart, Nivel: 0.0
Login: migimene, Nivel: 2.17
Login: jgoikoet, Nivel: 6.55
Login: anurtiag, Nivel: 4.7
Login: jsuarez-, Nivel: 4.84
Login: joagimen, Nivel: 1.43
Login: mruiz-sa, Nivel: 6.33
Login: egaguirr, Nivel: 2.62
Login: marredon, Nivel: 2.51
Login: itlopez-, Nivel: 1.8
Login: jurrutia, Nivel: None
Login: nlibano-, Nivel: 11.1
Login: josantia, Nivel: 1.96
Login: ingonzal, Nivel: 8.2
Login: ioromero, Nivel: 13.25
Login: lugonzal, Nivel: 11.12
Login: varys, Nivel: None
Login: mvalient, Nivel: 11.31
Login: joseda-s, Nivel: 3.26
Login: rlatxaga, Nivel: 1.0
Login: aidiaz-c, Nivel: 1.75
Login: viogonza, Nivel: 2.81
Login: mboiko, Nivel: 3.04
Login: dugonzal, Nivel: 8.09
Login: uxmancis, Nivel: 4.09
Login: chaikney, Nivel: 3.83
Login: dbonilla, Nivel: 4.1
Login: scanala-, Nivel: None
Login: izperez, Nivel: 3.8
Login: naotegui, Nivel: 2.39
Login: iescalon, Nivel: 2.43
Login: red, Nivel: None
Login: geguskiz, Nivel: None
Login: olalsanc, Nivel: None
Login: magalean, Nivel: None
Login: itelo-pa, Nivel: None
Login: danperez, Nivel: None
Login: ide-cast, Nivel: None
Login: piprieto, Nivel: None
Login: imusatad, Nivel: None
Login: jdacal-a, Nivel: None
Login: operez-l, Nivel: None
Login: yibrahim, Nivel: None
Login: mlarioui, Nivel: None
Login: kadjel, Nivel: None
Login: amacarul, Nivel: None
Login: igoherre, Nivel: None
Login: arjaber-, Nivel: None
Login: rares-pe, Nivel: None
Login: iullibar, Nivel: None
Login: jtames, Nivel: None
Login: gyunquer, Nivel: None
Login: daguirre, Nivel: None
Login: csanchez, Nivel: None
Login: mdiez-go, Nivel: None
Login: ehercevi, Nivel: None
Login: dmazo-ga, Nivel: None
Login: jdasilva, Nivel: 11.24
Login: ide-pabl, Nivel: 1.52
Login: dalabrad, Nivel: 3.17
Login: aalvarez, Nivel: 10.6
Login: jbarainc, Nivel: None
Login: ekfernan, Nivel: None
Login: pesaiz-m, Nivel: None
Login: ainhmart, Nivel: None
Login: pazarand, Nivel: None
Login: jgil-bla, Nivel: None
Login: aboutefe, Nivel: None
Login: gsantill, Nivel: None
Login: elopez-u, Nivel: None
Login: emimenza, Nivel: 5.03
Login: rolea-iz, Nivel: None
Login: pde-elej, Nivel: None
Login: aszamora, Nivel: 3.23
Login: ciestrad, Nivel: 3.23
Login: jenbeita, Nivel: None
Login: ykiprenk, Nivel: None
Login: virmarti, Nivel: None
Login: ikdelgad, Nivel: None
Login: eloizaga, Nivel: None
Login: alshakhp, Nivel: None
Login: muribe-l, Nivel: 3.25
Login: jtomas-g, Nivel: None
Login: iirazaba, Nivel: None
Login: ecamara, Nivel: 10.92
Login: aiesteve, Nivel: None
Login: joscastr, Nivel: 2.43
Login: ualcibar, Nivel: 11.3
Login: jsologai, Nivel: 0.0
Login: lubravo-, Nivel: 1.05
Login: katabram, Nivel: 2.13
Login: eastaiza, Nivel: None
Login: javmart3, Nivel: None
Login: pepaloma, Nivel: 4.68
Login: aperez-o, Nivel: None
Login: ivromero, Nivel: 3.25
Login: andemart, Nivel: None
Login: andefern, Nivel: 3.19
Login: rubegar2, Nivel: None
Login: marksanc, Nivel: None
Login: ivanrodr, Nivel: 2.18
Login: csan-seg, Nivel: 2.11
Login: anlarrie, Nivel: None
Login: ullorent, Nivel: 11.01
Login: maces-co, Nivel: 0.0
Login: jimbert-, Nivel: 1.47
Login: dsilva-g, Nivel: 5.31
Login: rmora-es, Nivel: 1.65
Login: msaiz-er, Nivel: 1.27
Login: jofernan, Nivel: 10.98
Login: gmurcia-, Nivel: 2.1
Login: oiahidal, Nivel: 1.72
Login: amugira-, Nivel: 2.18
Login: dgomez-m, Nivel: 5.26
Login: hmartin-, Nivel: 1.03
Login: ana-pper, Nivel: 3.18
Login: aherrero, Nivel: 11.39
Login: aamorin-, Nivel: 11.12
Login: sandrfer, Nivel: None
Login: jde-orma, Nivel: 3.75
Login: yaldama, Nivel: None
Login: efranco, Nivel: None
Login: usaez-la, Nivel: None
Login: eluno-la, Nivel: 2.57
Login: sarmonte, Nivel: 2.18
Login: sarperez, Nivel: 1.0
Login: cbustama, Nivel: 11.24
Login: vlorenzo, Nivel: 2.11
Login: jperez, Nivel: 10.87
Login: luisanch, Nivel: 3.16
Login: emelende, Nivel: 3.77
Login: emunoz, Nivel: 3.76
Login: scardell, Nivel: None
Login: igchurru, Nivel: 2.14
Login: migarcia, Nivel: 8.44
Login: eandres, Nivel: 2.1
Login: jgainza-, Nivel: 11.07
Login: pojea-lo, Nivel: 8.61
Login: aarrien-, Nivel: 11.3
Login: mvolcan-, Nivel: None
Login: xdu, Nivel: None
Login: cperez-g, Nivel: None
Login: aide-end, Nivel: 0.0
Login: amoro-ma, Nivel: 3.76
Login: rolivera, Nivel: None
Login: daniturr, Nivel: None
Login: eperaita, Nivel: 8.13
Login: jsmith, Nivel: 6.99
Login: agomez-c, Nivel: 2.11
Login: acigaran, Nivel: None
Login: aprados-, Nivel: None
Login: lromano, Nivel: 2.07
Login: aaldanas, Nivel: 0.0
Login: umartin-, Nivel: 11.1
Login: nurreta, Nivel: None
Login: intsanch, Nivel: None
Login: elrisuen, Nivel: 0.0
Login: fcasaubo, Nivel: 4.1
Login: oktorok, Nivel: None
Login: belen, Nivel: None
Login: danirod2, Nivel: 0.0
Login: mcano-mu, Nivel: 2.52
Login: jhtorres, Nivel: 2.22
Login: oserhiei, Nivel: 1.0
Login: dserhiei, Nivel: 1.0
Login: snorena-, Nivel: 4.14
Login: anavas-g, Nivel: 3.14
Login: xortega, Nivel: 4.1
Login: jdiez-go, Nivel: 1.44
Login: cortiz-c, Nivel: None
Login: iginsaus, Nivel: 1.42
Login: gigutier, Nivel: 0.0
Login: ialustiz, Nivel: 2.14
Login: mikferna, Nivel: 6.87
Login: hcarrasc, Nivel: 7.14
Login: abasante, Nivel: 6.9399999999999995
Login: jaizpuru, Nivel: 8.47
Login: cagutier, Nivel: 5.66
Login: bde-mada, Nivel: 3.74
Login: dcalle-m, Nivel: 3.2800000000000002
Login: krizo-ro, Nivel: None
Login: svanegas, Nivel: None
Login: dacalvo-, Nivel: None
Login: fsilva-f, Nivel: 8.37
Login: vtrubina, Nivel: 2.45
Login: gcamblor, Nivel: 1.72
Login: cabreu-h, Nivel: 0.0
Login: ccanete-, Nivel: 2.4699999999999998
Login: daferna2, Nivel: 2.94
Login: psaiz-mi, Nivel: None
Login: alparede, Nivel: None
Login: andermar, Nivel: None
Login: indoming, Nivel: 5.67
Login: becastro, Nivel: 11.08
Login: beiglesi, Nivel: 3.2800000000000002
Login: gamateos, Nivel: 0.0
Login: aperez-m, Nivel: 4.12
Login: pjacob-l, Nivel: 0.0
Login: jeetxeba, Nivel: None
Login: ancorder, Nivel: None
Login: angramir, Nivel: None
Login: edverdej, Nivel: None
Login: vrivera-, Nivel: None
Login: marregi-, Nivel: 2.1
Login: xamorale, Nivel: 1.04
Login: mmartin4, Nivel: 0.0
Login: alcolina, Nivel: 0.0
Login: aesteves, Nivel: 0.0
Login: ahiguera, Nivel: 3.21
Login: joan-san, Nivel: 3.04
Login: oerraji, Nivel: None
Login: cdavies-, Nivel: None
Login: salberdi, Nivel: None
Login: mitelo-a, Nivel: None
Login: ybahri, Nivel: 3.17
Login: achang-r, Nivel: None
Login: stragoda, Nivel: None
Login: snieto-m, Nivel: None
Login: egomez-h, Nivel: None
Login: blamiqui, Nivel: None
Login: fletcher, Nivel: None
Login: jbravo, Nivel: 2.8
Login: jumoncad, Nivel: 3.81
Login: dsosa, Nivel: None
Login: iperez-m, Nivel: None
Login: daferna3, Nivel: None
Login: pcarmona, Nivel: None
Login: saimarka, Nivel: 2.91
Login: szaballa, Nivel: None
Login: sandaur-, Nivel: None
Login: idel-poz, Nivel: 1.42
Login: johbarbo, Nivel: None
Login: aiguerra, Nivel: None
Login: marcherr, Nivel: None
Login: arigomez, Nivel: None
Login: ylopez, Nivel: None
Login: mcarmona, Nivel: None
Login: jaltamir, Nivel: None
Login: jmovilla, Nivel: None
Login: mgaleano, Nivel: None
Login: festeve-, Nivel: 2.49
Login: ldel-rio, Nivel: 2.08
Login: mikegonz, Nivel: 2.18
Login: dchernik, Nivel: 0.0
Login: agil-mun, Nivel: 0.0
Login: aayuso-s, Nivel: 2.05
Login: jogimene, Nivel: 2.4699999999999998
Login: dpatino, Nivel: 1.0
Login: inigalva, Nivel: 1.31
Login: marcealv, Nivel: 1.6800000000000002
Login: cgaray-s, Nivel: 1.3900000000000001
Login: marcoalv, Nivel: 2.05
Login: esavitsk, Nivel: 1.0
Login: jose-ega, Nivel: 0.0
Login: ualfaro-, Nivel: 0.0
Login: hecmarti, Nivel: 2.09
Login: lbengoec, Nivel: 3.87
Login: dajimene, Nivel: 3.73
Login: benjaminm, Nivel: None
Login: jaalvare, Nivel: 1.4
Login: icobaner, Nivel: 2.63
Login: masla-la, Nivel: 6.45
Login: moruiz-s, Nivel: 2.58
Login: jperez2, Nivel: None
Login: mcuellar, Nivel: 0.0
Login: kzarate-, Nivel: 0.0
Login: jodavila, Nivel: 1.0
Login: ssvitkin, Nivel: 1.06
Login: richerna, Nivel: 0.0
Login: milahern, Nivel: 0.0
Login: oaliende, Nivel: 1.0
Login: migandra, Nivel: 1.41
Login: ngastana, Nivel: 3.81
Login: luisgarc, Nivel: None
Login: ilaka, Nivel: None
Login: sizquier, Nivel: 4.27
Login: cdiaz-fl, Nivel: 8.46
Login: mpiano-r, Nivel: None
Login: javigarc, Nivel: 5.32
Login: ibazo, Nivel: 2.07
Login: dxia, Nivel: 1.46
Login: jsolinis, Nivel: 8.22
Login: juribe-g, Nivel: 0.0
Login: aroca-pa, Nivel: 2.77
Login: zcanales, Nivel: 9.24
Login: izubizar, Nivel: 1.06
Login: dalcabre, Nivel: 2.15
Login: balcalde, Nivel: 2.43
Login: mmonclus, Nivel: 2.48
Login: sohernan, Nivel: 1.6800000000000002
Login: nquecedo, Nivel: 2.49
Login: tmarina-, Nivel: 2.07
Login: mafarto-, Nivel: 3.17
Login: mcappa-p, Nivel: None
Login: jelorria, Nivel: 5.06
Login: ndiaz, Nivel: 0.0
Login: alshevch, Nivel: 1.42
Login: qaurdul3, Nivel: 0.0
Login: amayo-ar, Nivel: 1.78
Login: inunez-g, Nivel: 7.13
Login: hsieczka, Nivel: 1.8900000000000001
Login: qaurdul2, Nivel: 0.0
Login: qaurdul, Nivel: 2.25
Login: rama, Nivel: None
Login: kazpeiti, Nivel: None
Login: geramart, Nivel: None
Login: danlopez, Nivel: 3.16
Login: davmart2, Nivel: 2.11
Login: jmelcon, Nivel: None
Login: iksaiz-m, Nivel: 2.18
Login: isojo-go, Nivel: 11.58
Login: adrmart2, Nivel: 1.0
Login: ablazque, Nivel: 0.0
Login: omarron, Nivel: 0.0
Login: yhuivan, Nivel: 0.0
Login: moulguir, Nivel: 1.05
Login: jgrau-to, Nivel: 1.5699999999999998
Login: arios-he, Nivel: 1.0
Login: damunoz-, Nivel: 2.61
Login: diserran, Nivel: 3.75
Login: daampuru, Nivel: 4.0
Login: nrodrigu, Nivel: 3.03
